ABA_ROW_NAME,ABA_CODE,MATCH_VARIANT,SPECIES_CODE
Red-footed Booby,2.0,red footed booby,refboo3
Northern Gannet,1.0,northern gannet,norgan
,nan,nan,
Anhinga,1.0,anhinga,anhing
,nan,nan,
Brandt's Cormorant,1.0,brandt s cormorant,bracor
Red-faced Cormorant,2.0,red faced cormorant,refcor
Pelagic Cormorant,1.0,pelagic cormorant,pelcor
Great Cormorant,1.0,great cormorant,grecor4
Double-crested Cormorant,1.0,double crested cormorant,doccor
Neotropic Cormorant,1.0,neotropic cormorant,neocor
,nan,nan,
White Ibis,1.0,white ibis,whiibi
Scarlet Ibis,5.0,scarlet ibis,scaibi
Glossy Ibis,1.0,glossy ibis,gloibi
White-faced Ibis,1.0,white faced ibis,whfibi
Roseate Spoonbill,1.0,roseate spoonbill,rosspo1
,nan,nan,
American White Pelican,1.0,american white pelican,amwpel
Brown Pelican,1.0,brown pelican,brnpel4
,nan,nan,
Bare-throated Tiger-Heron,5.0,bare throated tiger heron,btther1
Least Bittern,1.0,least bittern,leabit8
American Bittern,1.0,american bittern,amebit
Yellow Bittern,5.0,yellow bittern,yelbit
Little Blue Heron,1.0,little blue heron,libher
Tricolored Heron,1.0,tricolored heron,triher
Reddish Egret,1.0,reddish egret,redegr
Chinese Egret,5.0,chinese egret,chiegr
Snowy Egret,1.0,snowy egret,snoegr
Little Egret,4.0,little egret,litegr2
Western Reef-Heron,5.0,western reef heron,wesreh2
Black-crowned Night Heron,1.0,black crowned night heron,bkcnih3
Yellow-crowned Night Heron,1.0,yellow crowned night heron,yecnih2
Green Heron,1.0,green heron,grnher3
Chinese Pond-Heron,5.0,chinese pond heron,chpher1
Great Egret,1.0,great egret,greegr3
Medium Egret,5.0,medium egret,integr1
Western Cattle-Egret,1.0,western cattle egret,categr1
Eastern Cattle-Egret,5.0,eastern cattle egret,categr2
Gray Heron,4.0,gray heron,gryher2
Great Blue Heron,1.0,great blue heron,wurher
,nan,nan,
